    lat     lon            mean              annu_cos              annu_sin          semiannu_cos         semiannu_sin
   0.000   70.000    1.4578810495e-04    -3.7884301000e-07     1.0035250968e-06    -7.7503936976e-08     4.1020173236e-07 
   0.000   70.500    1.4578088597e-04    -3.8710202303e-07     9.9591950493e-07    -6.8440015808e-08     3.9200162422e-07 
   0.000   71.000    1.4574729278e-04    -3.9376237593e-07     1.0135491479e-06    -5.5688128447e-08     3.7391279000e-07 
   0.000   71.500    1.4574414968e-04    -4.1687129224e-07     1.0169305958e-06    -6.9963014381e-08     3.6010500107e-07 
   0.000   72.000    1.4572659744e-04    -4.5620575252e-07     1.0098737762e-06    -7.6419152333e-08     3.6750371612e-07 
   0.000   72.500    1.4570571908e-04    -4.6519021260e-07     9.8674069373e-07    -7.1170638980e-08     3.6815681726e-07 
   0.000   73.000    1.4564971424e-04    -5.0022526829e-07     9.4394708572e-07    -5.4981212584e-08     3.5775569987e-07 
   0.000   73.500    1.4561529938e-04    -5.3788962825e-07     9.2345740503e-07    -2.9121250371e-08     3.1003174236e-07 
   0.000   74.000    1.4561640728e-04    -5.7158120138e-07     9.0257832920e-07     1.5577946601e-11     2.5943845806e-07 
   0.000   74.500    1.4561175714e-04    -5.9385455226e-07     8.9195757307e-07     2.9807939316e-08     2.4109501959e-07 
   0.000   75.000    1.4561398674e-04    -5.9729261245e-07     8.9700462636e-07     6.2608946220e-08     2.5609459341e-07 
   0.000   75.500    1.4558221931e-04    -6.5009657997e-07     8.8922922929e-07     9.6216739289e-08     2.8185043134e-07 
   0.000   76.000    1.4558184796e-04    -6.7404070522e-07     9.0040705208e-07     1.1828805011e-07     2.7395936010e-07 
   0.000   76.500    1.4557223263e-04    -6.6520443064e-07     9.1757108789e-07     1.3292211804e-07     2.4210896722e-07 
   0.000   77.000    1.4556702154e-04    -6.5269007771e-07     9.2106787269e-07     1.5377417017e-07     2.0336334864e-07 
   0.000   77.500    1.4556094115e-04    -6.3246107369e-07     9.1944652719e-07     1.7494532586e-07     1.6831590462e-07 
   0.000   78.000    1.4555751521e-04    -6.3770977172e-07     9.3331237872e-07     1.7826239984e-07     1.3716514094e-07 
   0.000   78.500    1.4556975909e-04    -6.2485313354e-07     9.3415403440e-07     1.8249016236e-07     1.1465632205e-07 
   0.000   79.000    1.4555040189e-04    -6.3254984925e-07     9.3429742516e-07     1.9767667656e-07     9.0265630956e-08 
   0.000   79.500    1.4553541606e-04    -6.4621379880e-07     9.3531219921e-07     2.2617970249e-07     5.5895142061e-08 
   0.000   80.000    1.4551528945e-04    -6.6418061771e-07     9.1945299312e-07     2.5277116797e-07     3.0624217253e-08 
